,0
0,Swords / Malahide
1,Gevelsberg / Schwelm
2,Anzio / Nettuno
3,Ulm/Neu-Ulm
4,Aldwick / Felpham
5,Maurepas / Montigny-le-Bretonneux
6,Motherwell / Wishaw
7,Ayr / Prestwick
8,Bruxelles / Brussel
9,Grimsby / Cleethorpes
10,Vitoria/Gasteiz
11,Soest / Baarn
12,Tampere / Tammerfors
13,San Sebastián/Donostia
14,Castellón de la Plana/Castelló de la Plana
15,Quaregnon / Frameries
16,Mannheim/Ludwigshafen
17,Solingen / Wuppertal
18,Bad Soden am Taunus / Kelkheim
19,Kapellen / Ekeren
20,Chomutov / Jirkov
21,Pozzuoli / Bacoli
22,Greve / Ishøj
23,Gröpelingen / Vegesack
24,Alicante/Alacant
25,Elche/Elx
26,Verviers / Dison
27,Lørenskog / Lillestrøm
28,Vaihingen / Möhringen
29,Vleuten / De Meern
30,Sant Cugat del Vallès/Rubí
31,Cannock / Hednesford
32,Beverwijk/Heemskerk
33,Martigues / Port-de-Bouc
34,Biel/Bienne
35,Leeds / Bradford
36,Redhill / Reigate
37,Wigan / Skelmersdale
38,Moers / Rheinhausen
39,Arcozelo / Espinho
40,Pamplona/Iruña
41,Blantyre / Hamilton
42,Frimley / Farnborough
