unit,vessel,tra_cov,geo\time	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
MIO_TKM,TOTAL,TOTAL,AT	2123 	2191 	2353 	2177 	1806 	1962 	2022 	1489 	1715 	1606 	1506 	1233 
MIO_TKM,TOTAL,TOTAL,BE	9251 	10420 	10365 	10451 	10426 	10331 	11098 	7986 b	7767 	7388 	8180 	7559 
MIO_TKM,TOTAL,TOTAL,BG	4310 	5349 	5374 	5074 	5595 	5477 	5279 	4858 	5901 	6256 	5792 	3787 
MIO_TKM,TOTAL,TOTAL,CZ	42 	38 	25 	27 	33 	36 	25 	23 	32 	18 	22 	20 
MIO_TKM,TOTAL,TOTAL,DE	55027 	58488 	60070 	59093 	55315 	54347 	55518 	46901 	50919 	46338 	48197 	44117 
MIO_TKM,TOTAL,TOTAL,EU27_2020	141429 	148832 	151305 	149431 	145505 	145287 	145986 	130051 	138808 	130478 	135047 	121971 
MIO_TKM,TOTAL,TOTAL,FI	: 	: 	: 	: 	: 	: 	: 	: 	122 	127 	148 	194 
MIO_TKM,TOTAL,TOTAL,FR	8926 	8981 	9082 	8770 	8484 	8310 	7515 	7255 	7996 	6988 	7265 	6593 
MIO_TKM,TOTAL,TOTAL,HR	692 	772 	771 	716 	879 	836 	813 	678 	835 	903 	841 	595 
MIO_TKM,TOTAL,TOTAL,HU	1840 	1982 	1924 	1811 	1824 	1975 	1992 	1608 	2120 	1998 	1873 	1508 
MIO_TKM,TOTAL,TOTAL,LU	305 	290 	313 	285 	235 	190 	195 	205 	228 	201 	217 	200 
MIO_TKM,TOTAL,TOTAL,NL	46410 	46681 	47688 	48252 	46912 	47657 	47960 	45886 	46194 	44106 	46591 	44551 
MIO_TKM,TOTAL,TOTAL,PL	161 	131 	91 	110 	88 	108 	115 	125 	87 	77 	54 	40 
MIO_TKM,TOTAL,TOTAL,RO	11409 	12520 	12242 	11760 	13168 	13153 	12517 	12261 	13957 	13638 	13522 	10757 
MIO_TKM,TOTAL,TOTAL,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	134 
MIO_TKM,TOTAL,TOTAL,SK	931 	986 	1006 	905 	741 	903 	933 	778 	937 	834 	839 	680 
THS_T,TOTAL,TOTAL,AT	9943 	10714 	10710 	10122 	8599 	9071 	9620 	7202 	8512 	8247 	8271 	6374 
THS_T,TOTAL,TOTAL,BE	172906 	190288 	187404 	190303 	188158 	192938 	201129 	151972 b	155695 	156131 	166160 	163023 
THS_T,TOTAL,TOTAL,BG	14448 	16378 	16726 	16922 	17201 	17467 	16247 	15462 	18735 	18924 	18093 	12548 
THS_T,TOTAL,TOTAL,CZ	911 	838 	608 	802 	850 	832 	510 	390 	779 	397 	344 	317 
THS_T,TOTAL,TOTAL,DE	221966 	223170 	226864 	228489 	221369 	221349 	222731 	197904 	205066 	188022 	195093 	182448 
THS_T,TOTAL,TOTAL,EU27_2020	534033 	535042 	533550 	547177 	540751 	545754 	551259 	503764 	514914 	495560 	513925 	488144 
THS_T,TOTAL,TOTAL,FI	: 	: 	: 	: 	: 	: 	: 	: 	527 	512 	579 	721 
THS_T,TOTAL,TOTAL,FR	67656 	68542 	68059 	65139 	62808 	65189 	63253 	59529 	64207 	55979 	57109 	53201 
THS_T,TOTAL,TOTAL,HR	5184 	5934 	5823 	5377 	6642 	6409 	6221 	5182 	6491 	7077 	6548 	4626 
THS_T,TOTAL,TOTAL,HU	7175 	8135 	7857 	7825 	8163 	8224 	8414 	6926 	8592 	8803 	8022 	5921 
THS_T,TOTAL,TOTAL,LU	8956 	8506 	8987 	8390 	7106 	6035 	6163 	5741 	6433 	5755 	6221 	5652 
THS_T,TOTAL,TOTAL,NL	345469 	343029 	348426 	357738 	349717 	354587 	359356 	349480 	347714 	335892 	357594 	345479 
THS_T,TOTAL,TOTAL,PL	3143 	2574 	3185 	5899 	5036 	3911 	3604 	3126 	2870 	2517 	2075 	918 
THS_T,TOTAL,TOTAL,RO	29396 	27946 	26858 	27834 	30020 	30484 	29043 	29714 	33261 	30518 	32120 	28620 
THS_T,TOTAL,TOTAL,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2455 
THS_T,TOTAL,TOTAL,SK	8211 	8242 	8107 	7010 	5721 	6758 	6896 	5567 	6430 	6004 	6013 	5174 
